Timestamp,major,academic_level,university_name,used_platform,no_platform_usage,no_platform_understanding,no_platform_analytical_thinking,no_platform_skills_confidence,no_platform_others_reason_usage,Comment1,course,,platform,used_course_platform,platform_uni_understanding,platform_understanding,platform_analytical_thinking,platform_skills_confidence,platform_course_completed,incomplete_reason,platform_usage_reason,recommendation,Comment2
2025/11/13 4:49:40 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Python,,W3School,W3 python,2,3,3,3,Yes,.,I prefer learning at my own pace;Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills;Certificates help me in job or internship applications,W3 school ,.
2025/11/13 4:59:39 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Programming,,Kaggle,Programming / kaggle,3,4,2,5,No,Lack of time / busy schedule;Losing motivation or interest;Course was boring or not engaging,University courses are too theoretical,Youtube/ kaggle/ coursera,
2025/11/13 5:05:35 PM GMT+2,Data Science,Graduate,LU,No,I don’t have enough time or motivation to use platforms,4,3,3,To learn at their own pace;For practical examples or exercises;For up-to-date content;To get certificates for jobs or internships;To catch up if they missed classes,,,,,,,,,,,,,,
2025/11/13 5:05:42 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,,,"YouTube , Kaggle , W3School","Usually youtube , kaggle , w3school , khan academy",2,3,2,3,No,Lack of time / busy schedule;Losing motivation or interest;,University courses are too theoretical;Online content is more up-to-date or easier to understand;I don't understand it from my doctor's/professor's explanation;,Kaggle,
2025/11/13 5:21:42 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Python,,W3School,python ww3school,1,3,3,3,No,Losing motivation or interest;No structure or deadlines to keep me on track,University courses are too theoretical;,youtube/ harvard courses,
2025/11/13 5:24:48 PM GMT+2,Data Science,Undergraduate,LU,No,I don’t know about relevant online platforms,2,2,2,To learn at their own pace;For up-to-date content;To get certificates for jobs or internships;To catch up if they missed classes,,,,,,,,,,,,,,
2025/11/13 5:27:01 PM GMT+2,Other,Masters,LU,Yes,,,,,,,,,IABC,IABC,2,3,3,2,Yes,,I prefer learning at my own pace;Online content is more up-to-date or easier to understand,Linkedin/Tomohi,
2025/11/13 5:31:19 PM GMT+2,Data Science,Undergraduate,LU,No,I don’t have enough time or motivation to use platforms,2,2,2,To review topics they didn’t fully understand;For practical examples or exercises;To catch up if they missed classes,,,,,,,,,,,,,,
2025/11/13 5:54:30 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,,,YouTube,Youtube ,3,5,4,4,Yes,,University courses are too theoretical,There is no specific channel but the video that is suitable and relevant to the course material that i need,
2025/11/13 5:54:35 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Python,,AUBX,"([python programming], [AUBX]) ",2,2,3,2,No,Course was boring or not engaging;Found better or more suitable learning resources,University courses are too theoretical;Online content is more up-to-date or easier to understand,Datacamp ,
2025/11/13 6:35:42 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Database,,YouTube,youtude database,2,3,3,3,Yes,,I prefer learning at my own pace;Online content is more up-to-date or easier to understand;I work or have time constraints and cannot always attend classes,w3school java and python youtube for data scraping ,
2025/11/13 6:45:18 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Web,,W3School,"web, W3schools",3,3,2,2,No,Lack of time / busy schedule;Losing motivation or interest,I don't understand it from my doctor's/professor's explanation,YouTube,
2025/11/13 6:55:17 PM GMT+2,Data Science,Undergraduate,USJ,Yes,,,,,,,Database,,EDX,Relational Database (Edx),5,3,2,4,No,No structure or deadlines to keep me on track;Learning independently feels difficult (no support),Certificates help me in job or internship applications,"Cisco, Edx",
2025/11/13 7:14:50 PM GMT+2,Data Science,Graduate,USAL,Yes,,,,,,,,,DataCamp,DataCamp,5,4,3,4,Yes,,University courses are too theoretical;Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills,"I mean for data and AI DataCamp is top tier it requires a subscription but they do give a free week here and there some other platforms contain great courses but you'll find it at DataCamp anyways the course names are Intro to data science, python fundamentals, SQL fundamentals.",If you are your average person I personally think university is key online courses are great and all that but it depends on the person some might pull it off but again university is a key to get a strong foundation I have done both personally university+self learning via online courses and projects is like a sweet spot I hope my humble view as a fresh grad helps.
2025/11/13 7:32:20 PM GMT+2,Other,Masters,LU,No,I prefer structured learning with a fixed schedule,3,3,2,To review topics they didn’t fully understand;For practical examples or exercises;To get certificates for jobs or internships;To clarify confusing lectures;To catch up if they missed classes,,,,,,,,,,,,,,
2025/11/13 8:06:13 PM GMT+2,Data Science,Undergraduate,USJ,Yes,,,,,,,"SQL, Data Wrangling",,EDX,"SQL, EDX. Data Wrangling,EDX",2,2,3,2,No,Lack of time / busy schedule;,Online platforms offer practical projects and hands-on skills;Certificates help me in job or internship applications,"EDX, Coursera, YouTube ",
2025/11/13 8:13:47 PM GMT+2,Data Science,Undergraduate,USJ,Yes,,,,,,,"Calculus, Probability",,,Calculus and probability (chatgpt),1,3,4,3,Yes,,I prefer learning at my own pace;Online content is more up-to-date or easier to understand,Chatgpt,
2025/11/13 8:27:22 PM GMT+2,Other,Graduate,LIU,Yes,,,,,,,AI,,ZAKA,"([AI], [ZAKA AI])",4,4,4,5,Yes,,Certificates help me in job or internship applications,"Coursera are great, AWS by Stephan Mareek",
2025/11/13 10:13:45 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,OOP,,YouTube,"([OOP],[Youtube])",3,5,5,5,Yes,,University courses are too theoretical;I prefer learning at my own pace;Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills,"[Coding with John , OOP]","I think Youtube offers a great help when learning new concepts in data science because it usually has short , easy to follow videos that each covers clearly one concept at a time while university courses tend to be  , bigger  and unstructured sometimes ."
2025/11/14 7:02:16 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,"Web, Java, C++, R",,YouTube,"Devrabic, web dev /codewithmosh,java&c++/youtube,R",3,5,4,4,No,Lack of time / busy schedule,University courses are too theoretical;I prefer learning at my own pace;I work or have time constraints and cannot always attend classes;I don't understand it from my doctor's/professor's explanation,"Codewithmosh,c++& java",
2025/11/14 9:27:33 PM GMT+2,Data Science,Graduate,USJ,No,I prefer structured learning with a fixed schedule,3,4,3,To learn at their own pace;For practical examples or exercises;To clarify confusing lectures;To catch up if they missed classes,,,,,,,,,,,,,,
2025/11/14 9:34:05 PM GMT+2,Data Science,Undergraduate,USJ,No,I prefer structured learning with a fixed schedule,3,3,3,To review topics they didn’t fully understand,,,,,,,,,,,,,,
2025/11/14 9:35:10 PM GMT+2,Data Science,Undergraduate,USJ,Yes,,,,,,,ML,,Cousera,"Machine learning specialization, cousera",5,3,3,5,Yes,,University courses are too theoretical;Online content is more up-to-date or easier to understand;Certificates help me in job or internship applications,Coursera,
2025/11/14 9:45:33 PM GMT+2,Data Science,Masters,LAU,Yes,,,,,,,,,Blackboard,blackboard,4,5,5,4,No,Lack of time / busy schedule;Learning independently feels difficult (no support);Found better or more suitable learning resources,University courses are too theoretical;I prefer learning at my own pace;Online content is more up-to-date or easier to understand;I don't understand it from my doctor's/professor's explanation,coursera/youtube,
2025/11/14 10:48:37 PM GMT+2,Data Science,Graduate,LAU,No,I don’t have enough time or motivation to use platforms,3,4,3,To review topics they didn’t fully understand;To learn at their own pace;To clarify confusing lectures;To catch up if they missed classes,,,,,,,,,,,,,,
2025/11/15 9:08:32 AM GMT+2,Data Science,Undergraduate,USJ,Yes,,,,,,,,,YouTube,youtube khanacademy ,4,3,4,3,No,Lack of time / busy schedule,I don't understand it from my doctor's/professor's explanation,organic chem yt,
2025/11/16 7:23:04 PM GMT+2,Other,Undergraduate,UA,Yes,,,,,,,Programming,,YouTube- Coursera - Udemy,Programming/ youtube- coursera - udemy,3,5,5,4,Yes,,University courses are too theoretical;Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills;Certificates help me in job or internship applications,"Freecodecamp, js mastery, coursera...",
2025/11/16 8:37:01 PM GMT+2,Data Science,Undergraduate,USAL,Yes,,,,,,,Discrete Math,,YouTube,"( YouTube, discrete mathmatics)",4,4,4,4,No,Lack of time / busy schedule,I work or have time constraints and cannot always attend classes,Not an specific channel,
2025/11/27 8:31:02 PM GMT+2,Data Science,Undergraduate,MUBS,No,Lectures already cover the material well.,2,3,3,To review topics they didn’t fully understand,,,,,,,,,,,,,,
2025/12/05 11:44:52 AM GMT+2,Other,Undergraduate,LU,No,I don’t know about relevant online platforms,2,3,2,To review topics they didn’t fully understand,,,,,,,,,,,,,,
2025/12/07 3:50:14 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,"DSA, Python, Linear Algebra",,YouTube,"Data Structures and Algorithms using Java, Python for data science, Linear Algebra... using youtube",3,5,5,5,Yes,,University courses are too theoretical;Online platforms offer practical projects and hands-on skills;Certificates help me in job or internship applications;I don't understand it from my doctor's/professor's explanation,YouTube,
2025/12/09 1:05:35 PM GMT+2,Data Science,Masters,LAU,Yes,,,,,,,PHP,,W3School,Php-W3Schools,4,5,5,5,Yes,,The doctor told us to study from the platform.,"W3Schools, NammiSkills ",
2025/12/17 11:03:16 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,"Java, Python, R, DSA, Statistics",,,"Java , python, R programming, statistics, data structure ",1,4,4,4,Yes,,I prefer learning at my own pace;Online content is more up-to-date or easier to understand;I work or have time constraints and cannot always attend classes;I don't understand it from my doctor's/professor's explanation,"Udemy , you tube , chat gpt ",Very good 👍🏻
2025/12/19 6:57:07 AM GMT+2,Data Science,Graduate,LU,No,I don’t have enough time or motivation to use platforms,3,3,1,For up-to-date content;To get certificates for jobs or internships,,,,,,,,,,,,,,
2025/12/20 4:29:26 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,"DSA, C++, ML",,"YouTube , W3School","Data structure, c++ , ML / YouTube , w3schools ",3,4,5,5,Yes,,University courses are too theoretical;Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills;Certificates help me in job or internship applications,"W3schools , GeeksforGeek ",
2025/12/20 4:37:51 PM GMT+2,Data Science,Undergraduate,LU,No,I trust professors/university content more than online sources,1,1,1,To catch up if they missed classes,,,,,,,,,,,,,,
2025/12/20 5:18:33 PM GMT+2,Data Science,Undergraduate,LU,No,I don’t have enough time or motivation to use platforms,3,3,2,To review topics they didn’t fully understand;To learn at their own pace;For practical examples or exercises;For up-to-date content;To get certificates for jobs or internships;To clarify confusing lectures;To catch up if they missed classes,,,,,,,,,,,,,,
2025/12/20 5:42:09 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,C++,,,C++ Chatgpt,3,4,4,3,No,Lack of time / busy schedule;Losing motivation or interest;Course content did not meet my expectations / not useful;Course was boring or not engaging,I prefer learning at my own pace;Online content is more up-to-date or easier to understand;I don't understand it from my doctor's/professor's explanation,CHATGPT,
2025/12/20 5:59:58 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,DSA,,YouTube,Data structure youtube ,2,4,4,4,Yes,,I don't understand it from my doctor's/professor's explanation,YouTube ,
2025/12/20 8:55:58 PM GMT+2,Data Science,Undergraduate,LU,No,I don’t know about relevant online platforms,2,4,3,To review topics they didn’t fully understand;To learn at their own pace;For practical examples or exercises;To get certificates for jobs or internships;To clarify confusing lectures;To catch up if they missed classes,,,,,,,,,,,,,,
2025/12/22 5:25:29 PM GMT+2,Data Science,Graduate,LU,Yes,,,,,,,DSA,,YouTube,"Data structures, YouTube channel",2,4,4,3,No,Lack of time / busy schedule;Losing motivation or interest;Course was boring or not engaging,I prefer learning at my own pace;I don't understand it from my doctor's/professor's explanation,W3schools,
2025/12/22 5:41:04 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Python,,YouTube,Python on YouTube ,1,3,2,3,Yes,,University courses are too theoretical;I don't understand it from my doctor's/professor's explanation,Programming with Mosh on YouTube ,
2025/12/22 5:42:06 PM GMT+2,Data Science,Masters,LU,Yes,,,,,,,,,Coursera,Coursera,3,4,3,4,Yes,,Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills;I don't understand it from my doctor's/professor's explanation,Coursera/Medium,"I usually prefer university lectures as what they provide is something beyond just understanding some material but a real educational experience ,however platforms courses can be a good substitute when the uni course is missing ."
2025/12/22 5:43:43 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,SQL,,Udemy,"Sql, udemy ",2,4,3,5,Yes,,University courses are too theoretical;I prefer learning at my own pace;I work or have time constraints and cannot always attend classes;I don't understand it from my doctor's/professor's explanation,Udemy,
2025/12/22 5:54:10 PM GMT+2,Data Science,Undergraduate,LU,No,I don’t know about relevant online platforms,3,2,2,To review topics they didn’t fully understand;To learn at their own pace;For practical examples or exercises;To catch up if they missed classes,,,,,,,,,,,,,,
2025/12/22 5:57:28 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,"Database, Java, Python ",,"YouTube, W3School",Youtube  Database/java and w3schools python,3,4,4,4,No,Found better or more suitable learning resources,University courses are too theoretical,W3schools ,
2025/12/22 5:57:41 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,,,W3School,W3schools,2,2,2,2,No,Lack of time / busy schedule,I don't understand it from my doctor's/professor's explanation,Multiple channels ,
2025/12/22 6:10:18 PM GMT+2,Data Science,Undergraduate,LU,No,I don’t know about relevant online platforms,1,2,1,To review topics they didn’t fully understand;To learn at their own pace;For practical examples or exercises;For up-to-date content;To clarify confusing lectures;To catch up if they missed classes,,,,,,,,,,,,,,
2025/12/22 6:23:23 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,SQL,,DataCamp,"datacamp, sql",2,3,3,2,Yes,,I prefer learning at my own pace;I work or have time constraints and cannot always attend classes,datacamp,
2025/12/22 6:27:13 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,,,"YouTube, W3School",youtube / w3schools,3,4,4,4,Yes,,I prefer learning at my own pace;Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills;I work or have time constraints and cannot always attend classes,w3schools / youtube,"university courses provide a strong theoretical foundation, especially in core concepts, but they are often limited in practical, real-world applications. Non-university courses, such as online platforms and workshops, helped me bridge this gap by focusing on hands-on projects, tools, and industry-relevant skills. A balance between both has been the most effective approach in developing my overall data science skill set."
2025/12/22 6:29:55 PM GMT+2,Data Science,Undergraduate,LU,No,I prefer structured learning with a fixed schedule,3,3,4,To review topics they didn’t fully understand;For practical examples or exercises;To get certificates for jobs or internships;To catch up if they missed classes,nope,,,,,,,,,,,,,
2025/12/22 6:35:36 PM GMT+2,Data Science,Graduate,LU,No,I trust professors/university content more than online sources,1,2,1,To clarify confusing lectures,Good luck ,,,,,,,,,,,,,
2025/12/22 6:37:53 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Database,, Udemy,"Database, Udemy.",1,4,3,4,No,Losing motivation or interest;Course difficulty or unclear explanations;Course was boring or not engaging,University courses are too theoretical;I don't understand it from my doctor's/professor's explanation,Udemy or Coursera,"For me, online platforms helped me much more in my courses than the University’s Doctors."
2025/12/22 6:44:41 PM GMT+2,Data Science,Undergraduate,LU,No,I don’t know about relevant online platforms,2,3,1,To review topics they didn’t fully understand;To learn at their own pace;For up-to-date content,,,,,,,,,,,,,,
2025/12/22 6:48:39 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,"Python, Java, Web",,YouTube,"Youtube(brocode),python java webdesign,chatgpt ",4,5,5,5,Yes,,I prefer learning at my own pace;Online content is more up-to-date or easier to understand,On youtube channel brocode:any programming language.also programming with mosh youtube channel.,
2025/12/22 7:01:09 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Data Analysis ,,Coursera,"Coursera, data analysis ",3,4,3,3,Yes,,I prefer learning at my own pace;Online content is more up-to-date or easier to understand,Nammiskills,
2025/12/22 7:04:27 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,"Python , Java , Discrete Math, DSA",,,"Python , Java , Discrete math, data structure ",2,4,5,5,No,Lack of time / busy schedule,Certificates help me in job or internship applications;I work or have time constraints and cannot always attend classes;I don't understand it from my doctor's/professor's explanation,"w3schools,programming with mosh",
2025/12/22 7:06:37 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Python,,ForwardMena,python ( cource nameskills ),2,3,3,3,No,Lack of time / busy schedule,University courses are too theoretical;Certificates help me in job or internship applications,vg,vg
2025/12/22 7:20:08 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,"Linear Algebra, DSA, Web, C++ , OOP ",,YouTube,"youtube: linear algebra, data structures, web design, c++ , java oop ",3,5,5,5,Yes,,University courses are too theoretical;I prefer learning at my own pace;Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills;I work or have time constraints and cannot always attend classes;I don't understand it from my doctor's/professor's explanation,"No exact channel,, each student might find a channel that suits them",
2025/12/22 8:08:44 PM GMT+2,Data Science,Undergraduate,LU,No,I don’t have enough time or motivation to use platforms,2,2,2,To review topics they didn’t fully understand;For practical examples or exercises,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2025/12/22 8:16:53 PM GMT+2,Data Science,Undergraduate,LU,No,I don’t have enough time or motivation to use platforms,2,2,1,To get certificates for jobs or internships,,,,,,,,,,,,,,
2025/12/22 8:28:16 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,,,"YouTube, Coursera","YouTube, Coursera",2,4,5,4,Yes,,University courses are too theoretical;I prefer learning at my own pace;Online platforms offer practical projects and hands-on skills;I work or have time constraints and cannot always attend classes;I don't understand it from my doctor's/professor's explanation,The organic chemistry tutor ,
2025/12/22 9:14:01 PM GMT+2,Other,Graduate,LU,Yes,,,,,,,Python,,YouTube,"Python , Youtube ",4,4,4,5,No,Learning independently feels difficult (no support),I prefer learning at my own pace,"Udemy, Youtube ",
2025/12/22 9:38:40 PM GMT+2,Data Science,Undergraduate,LU,No,I don’t have enough time or motivation to use platforms,1,2,1,To review topics they didn’t fully understand;To learn at their own pace;To clarify confusing lectures;To catch up if they missed classes,,,,,,,,,,,,,,
2025/12/22 9:45:13 PM GMT+2,Data Science,Undergraduate,LU,No,I don’t know about relevant online platforms,3,3,2,For practical examples or exercises;For up-to-date content;To get certificates for jobs or internships;To catch up if they missed classes,,,,,,,,,,,,,,
2025/12/23 1:04:09 AM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Python,,Youbee,Youbee- python ,1,4,4,4,No,Lack of time / busy schedule,University courses are too theoretical;Online content is more up-to-date or easier to understand,Youbee,
2025/12/23 1:07:51 AM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,,,YouTube,Youtube,3,2,3,3,Yes,No structure or deadlines to keep me on track;Learning independently feels difficult (no support),Certificates help me in job or internship applications,Data road,No
2025/12/23 10:04:42 AM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Java,,Zaker,"Java,zaker",1,3,2,2,Yes,,I don't understand it from my doctor's/professor's explanation,Zaker,
2025/12/23 11:02:35 AM GMT+2,Other,Undergraduate,NDU,Yes,,,,,,,ML,,DataCamp,"Supervised Learning with Scikit-Learn, DataCamp",3,4,3,4,Yes,,University courses are too theoretical;I prefer learning at my own pace;Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills,"DataCamp, Everything on it",
2025/12/23 1:14:51 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Python,,W3School,"(W3 school, python )",1,4,4,4,No,Lack of time / busy schedule,University courses are too theoretical,"[W3 school, Python]","The infos was clear, specific and you can try the code for example directly after learn its method via the uploaded compiler  in the website."
2025/12/23 6:35:28 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,"Web, Database",,"Youbee, YouTube",Web development.     At youbee    database youtube,3,5,5,4,Yes,,University courses are too theoretical;I prefer learning at my own pace;Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills, Youbee.      Youtube : mosh hamadani bro code,University courses are like teaching only based level we have always to work on our skills so we use platforms and not all dr in university have high abilities in teaching so it lead sometime to leak in our skills and this also is solved by learning from platforms. Conclusion both are important 
2025/12/23 6:45:20 PM GMT+2,Data Science,Graduate,LU,Yes,,,,,,,DSA,,YouTube,Data structures ( YouTube) ,2,3,3,2,No,Lack of time / busy schedule,I prefer learning at my own pace;Online platforms offer practical projects and hands-on skills;I don't understand it from my doctor's/professor's explanation,Data structures and algorithms for sajjaa khader,
2025/12/23 7:04:18 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Java,,Google,Java (google),4,5,5,5,Yes,,I prefer learning at my own pace,Google,Stressful 
2025/12/23 10:06:56 PM GMT+2,Data Science,Masters,LU,No,I prefer structured learning with a fixed schedule,3,2,2,To learn at their own pace;For practical examples or exercises;For up-to-date content;To catch up if they missed classes,,,,,,,,,,,,,,
2025/12/23 10:20:28 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,SQL,,YouTube,"(SQL,youtube)",3,4,5,5,Yes,,University courses are too theoretical;Online content is more up-to-date or easier to understand;Online platforms offer practical projects and hands-on skills,"Udemy ,coursera",
2025/12/27 7:10:35 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Programming,,,Programming,2,5,5,5,Yes,,University courses are too theoretical,Coursera,
2025/12/30 9:48:35 AM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,Python,,W3School,W3schools.com - python,2,2,2,2,No,Lack of time / busy schedule,I work or have time constraints and cannot always attend classes,Udemy,No comment
2025/12/30 10:18:50 AM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,,,DataRoad,Dataroad,4,4,2,3,Yes,,I don't understand it from my doctor's/professor's explanation,Youtube,
2025/12/30 3:32:40 PM GMT+2,Data Science,Undergraduate,LU,Yes,,,,,,,,,YouTube,Youtube ,3,5,5,5,Yes,,University courses are too theoretical;I prefer learning at my own pace;Online content is more up-to-date or easier to understand,محمد الدسوقي,
